OPT_NIFTY_20250515_CE_2485000,0,0,0,0,-10050,-2590890,-10050
OPT_NIFTY_20250515_PE_2485000,0,0,0,0,-6675,-1034958.75,-6675
OPT_NIFTY_20250515_CE_2495000,0,0,0,0,-8550,-1698885,-8550
OPT_NIFTY_20250515_PE_2495000,0,0,0,0,-525,-102007.5,-525
OPT_NIFTY_20250515_CE_2505000,0,0,0,0,-5175,-762795,-5175
OPT_NIFTY_20250515_PE_2505000,0,0,0,0,225,54438.75,225
OPT_NIFTY_20250515_CE_2515000,0,0,0,0,-2250,-239512.5,-2250
OPT_NIFTY_20250515_CE_2525000,0,0,0,0,-75,-5625,-75
OPT_NIFTY_20250515_CE_2535000,0,0,0,0,2250,116662.5,2250
OPT_NIFTY_20250515_CE_2545000,0,0,0,0,6150,219555,6150
OPT_NIFTY_20250522_PE_2390000,0,0,0,0,2925,150052.5,2925
OPT_NIFTY_20250522_PE_2400000,0,0,0,0,1725,103068.75,1725
OPT_NIFTY_20250522_PE_2410000,0,0,0,0,5025,349488.75,5025
OPT_NIFTY_20250522_PE_2420000,0,0,0,0,6225,497688.75,6225
OPT_NIFTY_20250522_PE_2430000,0,0,0,0,5700,531240,5700
OPT_NIFTY_20250522_PE_2440000,0,0,0,0,3975,437250,3975
OPT_NIFTY_20250522_PE_2450000,0,0,0,0,5025,636667.5,5025
OPT_NIFTY_20250522_CE_2460000,0,0,0,0,450,242730,450
OPT_NIFTY_20250522_PE_2460000,0,0,0,0,-1050,-156502.5,-1050
OPT_NIFTY_20250522_CE_2470000,0,0,0,0,2925,1362903.75,2925
OPT_NIFTY_20250522_PE_2470000,0,0,0,0,-3225,-564697.5,-3225
OPT_NIFTY_20250522_CE_2480000,0,0,0,0,1800,710100,1800
OPT_NIFTY_20250522_PE_2480000,0,0,0,0,-3225,-657093.75,-3225
OPT_NIFTY_20250522_CE_2490000,0,0,0,0,225,74700,225
OPT_NIFTY_20250522_PE_2490000,0,0,0,0,-1950,-466147.5,-1950
OPT_NIFTY_20250522_CE_2500000,0,0,0,0,5475,1494948.75,5475
OPT_NIFTY_20250522_PE_2500000,0,0,0,0,-300,-84210,-300
OPT_NIFTY_20250522_CE_2510000,0,0,0,0,-2025,-449955,-2025
OPT_NIFTY_20250522_CE_2520000,0,0,0,0,-6075,-1091373.75,-6075
OPT_NIFTY_20250522_CE_2530000,0,0,0,0,-3900,-548535,-3900
OPT_NIFTY_20250522_CE_2540000,0,0,0,0,-4425,-488298.75,-4425
OPT_NIFTY_20250522_CE_2550000,0,0,0,0,-12150,-1049760,-12150
OPT_NIFTY_20250522_PE_2395000,0,0,0,0,2550,142800,2550
OPT_NIFTY_20250522_CE_2405000,0,0,0,0,75,76132.5,75
OPT_NIFTY_20250522_PE_2405000,0,0,0,0,4425,286961.25,4425
OPT_NIFTY_20250522_PE_2415000,0,0,0,0,6900,513015,6900
OPT_NIFTY_20250522_PE_2425000,0,0,0,0,4800,413760,4800
OPT_NIFTY_20250522_PE_2435000,0,0,0,0,4275,430065,4275
OPT_NIFTY_20250522_PE_2445000,0,0,0,0,3450,405030,3450
OPT_NIFTY_20250522_PE_2455000,0,0,0,0,1350,185287.5,1350
OPT_NIFTY_20250522_CE_2465000,0,0,0,0,4200,2119320,4200
OPT_NIFTY_20250522_PE_2465000,0,0,0,0,-2400,-385080,-2400
OPT_NIFTY_20250522_CE_2475000,0,0,0,0,3675,1581903.75,3675
OPT_NIFTY_20250522_PE_2475000,0,0,0,0,-3150,-592200,-3150
OPT_NIFTY_20250522_CE_2485000,0,0,0,0,1200,436140,1200
