CODE,TICKER,EXCHANGE,BUYQTY,BUYVALUE,SELLQTY,SELLVALUE,CARRYQTY,CARRYVALUE,NETQTY,CLOSPRICE
OWN,OPT_NIFTY_20250515_CE_2455000,NSEFNO,0,0,0,0,-375,-180750.0,-375,-375
OWN,OPT_NIFTY_20250515_PE_2455000,NSEFNO,0,0,0,0,9975,764583.75,9975,9975
OWN,OPT_NIFTY_20250515_CE_2465000,NSEFNO,0,0,0,0,-3225,-1292902.5,-3225,-3225
OWN,OPT_NIFTY_20250515_PE_2465000,NSEFNO,0,0,0,0,6375,622518.75,6375,6375
OWN,OPT_NIFTY_20250515_CE_2475000,NSEFNO,0,0,0,0,-10125,-3308850.0,-10125,-10125
OWN,OPT_NIFTY_20250515_PE_2475000,NSEFNO,0,0,0,0,-2400,-295080.0,-2400,-2400
OWN,OPT_NIFTY_20250515_CE_2485000,NSEFNO,0,0,0,0,-10050,-2590890.0,-10050,-10050
OWN,OPT_NIFTY_20250515_PE_2485000,NSEFNO,0,0,0,0,-6675,-1034958.75,-6675,-6675
OWN,OPT_NIFTY_20250515_CE_2495000,NSEFNO,0,0,0,0,-8550,-1698885.0,-8550,-8550
OWN,OPT_NIFTY_20250515_PE_2495000,NSEFNO,0,0,0,0,-525,-102007.5,-525,-525
OWN,OPT_NIFTY_20250515_CE_2505000,NSEFNO,0,0,0,0,-5175,-762795.0,-5175,-5175
OWN,OPT_NIFTY_20250515_PE_2505000,NSEFNO,0,0,0,0,225,54438.75,225,225
OWN,OPT_NIFTY_20250515_CE_2515000,NSEFNO,0,0,0,0,-2250,-239512.5,-2250,-2250
OWN,OPT_NIFTY_20250515_CE_2525000,NSEFNO,0,0,0,0,-75,-5625.0,-75,75
OWN,OPT_NIFTY_20250515_CE_2535000,NSEFNO,0,0,0,0,2250,116662.5,2250,2250
OWN,OPT_NIFTY_20250515_CE_2545000,NSEFNO,0,0,0,0,6150,219555.0,6150,6150
OWN,OPT_NIFTY_20250522_PE_2390000,NSEFNO,0,0,0,0,2925,150052.5,2925,2925
OWN,OPT_NIFTY_20250522_PE_2400000,NSEFNO,0,0,0,0,1725,103068.75,1725,1725
OWN,OPT_NIFTY_20250522_PE_2410000,NSEFNO,0,0,0,0,5025,349488.75,5025,5025
OWN,OPT_NIFTY_20250522_PE_2420000,NSEFNO,0,0,0,0,6225,497688.75,6225,6225
OWN,OPT_NIFTY_20250522_PE_2430000,NSEFNO,0,0,0,0,5700,531240.0,5700,5700
OWN,OPT_NIFTY_20250522_PE_2440000,NSEFNO,0,0,0,0,3975,437250.0,3975,3975
OWN,OPT_NIFTY_20250522_PE_2450000,NSEFNO,0,0,0,0,5025,636667.5,5025,5025
OWN,OPT_NIFTY_20250522_CE_2460000,NSEFNO,0,0,0,0,450,242730.0,450,450
OWN,OPT_NIFTY_20250522_PE_2460000,NSEFNO,0,0,0,0,-1050,-156502.5,-1050,-1050
OWN,OPT_NIFTY_20250522_CE_2470000,NSEFNO,0,0,0,0,2925,1362903.75,2925,2925
OWN,OPT_NIFTY_20250522_PE_2470000,NSEFNO,0,0,0,0,-3225,-564697.5,-3225,-3225
OWN,OPT_NIFTY_20250522_CE_2480000,NSEFNO,0,0,0,0,1800,710100.0,1800,1800
OWN,OPT_NIFTY_20250522_PE_2480000,NSEFNO,0,0,0,0,-3225,-657093.75,-3225,-3225
OWN,OPT_NIFTY_20250522_CE_2490000,NSEFNO,0,0,0,0,225,74700.0,225,225
OWN,OPT_NIFTY_20250522_PE_2490000,NSEFNO,0,0,0,0,-1950,-466147.5,-1950,-1950
OWN,OPT_NIFTY_20250522_CE_2500000,NSEFNO,0,0,0,0,5475,1494948.75,5475,5475
OWN,OPT_NIFTY_20250522_PE_2500000,NSEFNO,0,0,0,0,-300,-84210.0,-300,-300
OWN,OPT_NIFTY_20250522_CE_2510000,NSEFNO,0,0,0,0,-2025,-449955.0,-2025,-2025
OWN,OPT_NIFTY_20250522_CE_2520000,NSEFNO,0,0,0,0,-6075,-1091373.75,-6075,-6075
OWN,OPT_NIFTY_20250522_CE_2530000,NSEFNO,0,0,0,0,-3900,-548535.0,-3900,-3900
OWN,OPT_NIFTY_20250522_CE_2540000,NSEFNO,0,0,0,0,-4425,-488298.75,-4425,-4425
OWN,OPT_NIFTY_20250522_CE_2550000,NSEFNO,0,0,0,0,-12150,-1049760.0,-12150,-12150
OWN,OPT_NIFTY_20250522_PE_2395000,NSEFNO,0,0,0,0,2550,142800.0,2550,2550
OWN,OPT_NIFTY_20250522_CE_2405000,NSEFNO,0,0,0,0,75,76132.5,75,75
OWN,OPT_NIFTY_20250522_PE_2405000,NSEFNO,0,0,0,0,4425,286961.25,4425,4425
OWN,OPT_NIFTY_20250522_PE_2415000,NSEFNO,0,0,0,0,6900,513015.0,6900,6900
OWN,OPT_NIFTY_20250522_PE_2425000,NSEFNO,0,0,0,0,4800,413760.0,4800,4800
OWN,OPT_NIFTY_20250522_PE_2435000,NSEFNO,0,0,0,0,4275,430065.0,4275,4275
OWN,OPT_NIFTY_20250522_PE_2445000,NSEFNO,0,0,0,0,3450,405030.0,3450,3450
OWN,OPT_NIFTY_20250522_PE_2455000,NSEFNO,0,0,0,0,1350,185287.5,1350,1350
OWN,OPT_NIFTY_20250522_CE_2465000,NSEFNO,0,0,0,0,4200,2119320.0,4200,4200
OWN,OPT_NIFTY_20250522_PE_2465000,NSEFNO,0,0,0,0,-2400,-385080.0,-2400,-2400
OWN,OPT_NIFTY_20250522_CE_2475000,NSEFNO,0,0,0,0,3675,1581903.75,3675,3675
OWN,OPT_NIFTY_20250522_PE_2475000,NSEFNO,0,0,0,0,-3150,-592200.0,-3150,-3150
OWN,OPT_NIFTY_20250522_CE_2485000,NSEFNO,0,0,0,0,1200,436140.0,1200,1200
OWN,OPT_NIFTY_20250522_PE_2485000,NSEFNO,0,0,0,0,-2100,-465780.0,-2100,-2100
OWN,OPT_NIFTY_20250522_CE_2495000,NSEFNO,0,0,0,0,3975,1199456.25,3975,3975
OWN,OPT_NIFTY_20250522_PE_2495000,NSEFNO,0,0,0,0,-900,-234090.0,-900,-900
OWN,OPT_NIFTY_20250522_CE_2505000,NSEFNO,0,0,0,0,-300,-74220.0,-300,-300
OWN,OPT_NIFTY_20250522_PE_2505000,NSEFNO,0,0,0,0,75,22661.25,75,75
OWN,OPT_NIFTY_20250522_CE_2515000,NSEFNO,0,0,0,0,-2775,-555832.5,-2775,-2775
OWN,OPT_NIFTY_20250522_CE_2525000,NSEFNO,0,0,0,0,-3300,-519915.0,-3300,-3300
OWN,OPT_NIFTY_20250522_CE_2535000,NSEFNO,0,0,0,0,-2475,-307890.0,-2475,-2475
OWN,OPT_NIFTY_20250522_CE_2545000,NSEFNO,0,0,0,0,-7500,-734250.0,-7500,-7500
OWN,OPT_NIFTY_20250529_PE_2330000,NSEFNO,0,0,0,0,-825,-39558.75,-825,-825
OWN,OPT_NIFTY_20250529_PE_2350000,NSEFNO,0,0,0,0,-1350,-77287.5,-1350,-1350
OWN,OPT_NIFTY_20250529_CE_2400000,NSEFNO,0,0,0,0,-3300,-3741210.0,-3300,-3300
OWN,OPT_NIFTY_20250529_CE_2410000,NSEFNO,0,0,0,0,-4425,-4647135.0,-4425,-4425
OWN,OPT_NIFTY_20250529_PE_2410000,NSEFNO,0,0,0,0,-1875,-197625.0,-1875,-1875
OWN,OPT_NIFTY_20250529_CE_2420000,NSEFNO,0,0,0,0,-1575,-1499557.5,-1575,-1575
OWN,OPT_NIFTY_20250529_CE_2430000,NSEFNO,0,0,0,0,-7500,-6584250.0,-7500,-7500
OWN,OPT_NIFTY_20250529_PE_2430000,NSEFNO,0,0,0,0,-300,-39195.0,-300,-300
OWN,OPT_NIFTY_20250529_CE_2440000,NSEFNO,0,0,0,0,-5625,-4451343.75,-5625,-5625
OWN,OPT_NIFTY_20250529_PE_2440000,NSEFNO,0,0,0,0,-300,-44460.0,-300,-300
OWN,OPT_NIFTY_20250529_PE_2450000,NSEFNO,0,0,0,0,6600,1086360.0,6600,6600
OWN,OPT_NIFTY_20250529_CE_2460000,NSEFNO,0,0,0,0,-750,-474412.5,-750,-750
OWN,OPT_NIFTY_20250529_PE_2460000,NSEFNO,0,0,0,0,-3600,-685800.0,-3600,-3600
OWN,OPT_NIFTY_20250529_CE_2470000,NSEFNO,0,0,0,0,4950,2734627.5,4950,4950
